char,unicode,missing_cho,missing_jung,missing_jong,missing_total,in_ref78,ink_ratio,bbox_fill,edge_density,n_components,psnr,ssim
쐂,U+C402,0,0,1,1,0,0.16766357421875,0.8828125,0.18402099609375,7,nan,nan
쐃,U+C403,0,0,0,0,0,0.2099609375,0.859375,0.2120361328125,4,nan,nan
쐄,U+C404,0,0,0,0,0,0.18408203125,0.91552734375,0.17584228515625,5,nan,nan
쐅,U+C405,0,0,0,0,0,0.17236328125,0.946044921875,0.18133544921875,8,nan,nan
쐆,U+C406,0,0,0,0,0,0.18255615234375,0.92242431640625,0.178955078125,6,nan,nan
쐇,U+C407,0,0,0,0,0,0.1566162109375,0.91552734375,0.14520263671875,5,nan,nan
쐈,U+C408,0,0,0,0,0,0.177001953125,0.9158935546875,0.1708984375,5,nan,nan
쐉,U+C409,0,0,0,0,0,0.1651611328125,0.946044921875,0.146728515625,4,nan,nan
쐊,U+C40A,0,0,1,1,0,0.1798095703125,0.915771484375,0.17425537109375,4,nan,nan
쐋,U+C40B,0,0,0,0,0,0.16748046875,0.90692138671875,0.17474365234375,7,nan,nan
쐌,U+C40C,0,0,1,1,0,0.16455078125,0.8544921875,0.16046142578125,6,nan,nan
쐍,U+C40D,0,0,1,1,0,0.18023681640625,0.89208984375,0.183837890625,4,nan,nan
쐎,U+C40E,0,0,0,0,0,0.18377685546875,0.946044921875,0.1839599609375,3,nan,nan
쐏,U+C40F,0,0,0,0,0,0.18450927734375,0.875,0.16424560546875,6,nan,nan
쐐,U+C410,0,0,0,0,0,0.15576171875,0.5947265625,0.14190673828125,2,nan,nan
쐑,U+C411,0,0,0,0,0,0.16290283203125,0.78582763671875,0.16900634765625,6,nan,nan
쐒,U+C412,0,0,1,1,0,0.17822265625,0.7532958984375,0.17010498046875,4,nan,nan
쐓,U+C413,0,0,0,0,0,0.177490234375,0.73974609375,0.1688232421875,5,nan,nan
쐔,U+C414,0,0,0,0,0,0.1602783203125,0.78289794921875,0.169921875,5,nan,nan
쐕,U+C415,0,0,1,1,0,0.202880859375,0.78125,0.1871337890625,4,nan,nan
쐖,U+C416,0,0,1,1,0,0.195556640625,0.80615234375,0.1953125,7,nan,nan
쐗,U+C417,0,0,1,1,0,0.19482421875,0.7744140625,0.17413330078125,3,nan,nan
쐘,U+C418,0,0,0,0,0,0.19403076171875,0.7476806640625,0.20050048828125,5,nan,nan
쐙,U+C419,0,0,0,0,0,0.18890380859375,0.76739501953125,0.203369140625,6,nan,nan
쐚,U+C41A,0,0,0,0,0,0.201416015625,0.75531005859375,0.20867919921875,5,nan,nan
쐛,U+C41B,0,0,0,0,0,0.21331787109375,0.7781982421875,0.19451904296875,4,nan,nan
쐜,U+C41C,0,0,0,0,0,0.2012939453125,0.8046875,0.20025634765625,5,nan,nan
쐝,U+C41D,0,0,0,0,0,0.20416259765625,0.749267578125,0.207763671875,5,nan,nan
쐞,U+C41E,0,0,1,1,0,0.2022705078125,0.775146484375,0.20404052734375,6,nan,nan
쐟,U+C41F,0,0,0,0,0,0.21588134765625,0.78582763671875,0.21124267578125,7,nan,nan
쐠,U+C420,0,0,0,0,0,0.18243408203125,0.73553466796875,0.1802978515625,6,nan,nan
쐡,U+C421,0,0,0,0,0,0.17266845703125,0.732421875,0.17755126953125,5,nan,nan
쐢,U+C422,0,0,0,0,0,0.194580078125,0.759521484375,0.18817138671875,5,nan,nan
쐣,U+C423,0,0,0,0,0,0.1783447265625,0.72296142578125,0.1578369140625,3,nan,nan
쐤,U+C424,0,0,0,0,0,0.19403076171875,0.7657470703125,0.1768798828125,6,nan,nan
쐥,U+C425,0,0,0,0,0,0.19696044921875,0.79345703125,0.1650390625,4,nan,nan
쐦,U+C426,0,0,1,1,0,0.18701171875,0.77325439453125,0.17181396484375,4,nan,nan
쐧,U+C427,0,0,0,0,0,0.20050048828125,0.79345703125,0.180908203125,5,nan,nan
쐨,U+C428,0,0,1,1,0,0.1722412109375,0.7921142578125,0.17425537109375,5,nan,nan
쐩,U+C429,0,0,1,1,0,0.1805419921875,0.7890625,0.1824951171875,3,nan,nan
쐪,U+C42A,0,0,0,0,0,0.19525146484375,0.77056884765625,0.18817138671875,3,nan,nan
쐫,U+C42B,0,0,0,0,0,0.201904296875,0.8125,0.18096923828125,8,nan,nan
쐬,U+C42C,0,0,0,0,0,0.1243896484375,0.5921630859375,0.12652587890625,3,nan,nan
쐭,U+C42D,0,0,0,0,0,0.14300537109375,0.71875,0.13897705078125,4,nan,nan
쐮,U+C42E,0,0,1,1,0,0.159912109375,0.7109375,0.15625,6,nan,nan
쐯,U+C42F,0,0,0,0,0,0.171142578125,0.76739501953125,0.15460205078125,8,nan,nan
쐰,U+C430,0,0,0,0,0,0.15673828125,0.7265625,0.14544677734375,3,nan,nan
쐱,U+C431,0,0,1,1,0,0.15911865234375,0.722900390625,0.1556396484375,5,nan,nan
쐲,U+C432,0,0,1,1,0,0.1885986328125,0.70538330078125,0.1732177734375,6,nan,nan
쐳,U+C433,0,0,1,1,0,0.15673828125,0.671875,0.1492919921875,5,nan,nan
쐴,U+C434,0,0,0,0,0,0.156982421875,0.67437744140625,0.163330078125,6,nan,nan
쐵,U+C435,0,0,0,0,0,0.1700439453125,0.6953125,0.1785888671875,3,nan,nan
쐶,U+C436,0,0,0,0,0,0.19439697265625,0.69427490234375,0.19146728515625,3,nan,nan
쐷,U+C437,0,0,0,0,0,0.1768798828125,0.74169921875,0.18328857421875,7,nan,nan
쐸,U+C438,0,0,0,0,0,0.17974853515625,0.7305908203125,0.173095703125,7,nan,nan
쐹,U+C439,0,0,0,0,0,0.18402099609375,0.6962890625,0.1920166015625,4,nan,nan
쐺,U+C43A,0,0,1,1,0,0.1629638671875,0.69427490234375,0.16729736328125,9,nan,nan
쐻,U+C43B,0,0,0,0,0,0.20904541015625,0.6953125,0.19757080078125,4,nan,nan
쐼,U+C43C,0,0,0,0,0,0.155517578125,0.6690673828125,0.15362548828125,5,nan,nan
쐽,U+C43D,0,0,0,0,0,0.16082763671875,0.651123046875,0.1494140625,3,nan,nan
쐾,U+C43E,0,0,0,0,0,0.18109130859375,0.7305908203125,0.1661376953125,7,nan,nan
쐿,U+C43F,0,0,0,0,0,0.16162109375,0.6298828125,0.13714599609375,4,nan,nan
쑀,U+C440,0,0,0,0,0,0.17724609375,0.699951171875,0.14971923828125,3,nan,nan
쑁,U+C441,0,0,0,0,0,0.15966796875,0.6640625,0.13641357421875,4,nan,nan
쑂,U+C442,0,0,1,1,0,0.15399169921875,0.6767578125,0.1495361328125,4,nan,nan
쑃,U+C443,0,0,0,0,0,0.1771240234375,0.6953125,0.1556396484375,8,nan,nan
쑄,U+C444,0,0,1,1,0,0.1514892578125,0.6796875,0.1490478515625,5,nan,nan
쑅,U+C445,0,0,1,1,0,0.16021728515625,0.6796875,0.1676025390625,4,nan,nan
쑆,U+C446,0,0,0,0,0,0.1512451171875,0.6796875,0.13995361328125,5,nan,nan
쑇,U+C447,0,0,0,0,0,0.1744384765625,0.6953125,0.166748046875,7,nan,nan
쑈,U+C448,0,0,0,0,0,0.1201171875,0.66796875,0.11798095703125,3,nan,nan
쑉,U+C449,0,0,0,0,0,0.15264892578125,0.7459716796875,0.13751220703125,4,nan,nan
쑊,U+C44A,0,0,1,1,0,0.169677734375,0.7578125,0.158203125,5,nan,nan
쑋,U+C44B,0,0,0,0,0,0.1607666015625,0.7890625,0.1517333984375,5,nan,nan
쑌,U+C44C,0,0,0,0,0,0.14923095703125,0.7109375,0.1295166015625,4,nan,nan
쑍,U+C44D,0,0,1,1,0,0.17919921875,0.7734375,0.161376953125,5,nan,nan
쑎,U+C44E,0,0,1,1,0,0.1783447265625,0.8515625,0.16851806640625,4,nan,nan
쑏,U+C44F,0,0,1,1,0,0.1676025390625,0.765625,0.14715576171875,6,nan,nan
쑐,U+C450,0,0,0,0,0,0.17718505859375,0.7578125,0.17181396484375,4,nan,nan
쑑,U+C451,0,0,0,0,0,0.18731689453125,0.7734375,0.18072509765625,4,nan,nan
쑒,U+C452,0,0,0,0,0,0.209716796875,0.7734375,0.19927978515625,3,nan,nan
쑓,U+C453,0,0,0,0,0,0.194091796875,0.75,0.19512939453125,4,nan,nan
쑔,U+C454,0,0,0,0,0,0.17388916015625,0.8125,0.18212890625,6,nan,nan
쑕,U+C455,0,0,0,0,0,0.18475341796875,0.796875,0.1884765625,4,nan,nan
쑖,U+C456,0,0,1,1,0,0.176513671875,0.8359375,0.1826171875,7,nan,nan
쑗,U+C457,0,0,0,0,0,0.1778564453125,0.8046875,0.18902587890625,8,nan,nan
쑘,U+C458,0,0,0,0,0,0.16363525390625,0.78125,0.16082763671875,5,nan,nan
쑙,U+C459,0,0,0,0,0,0.183837890625,0.7265625,0.15869140625,4,nan,nan
쑚,U+C45A,0,0,0,0,0,0.1826171875,0.78125,0.16424560546875,6,nan,nan
